account_name,margin_dollar
Virgo Facilities,-191398.09
Krazybee Services Private Limited,-91836.37
Numeral,-84061.29
Mara_Care_AG,-79098.40
OPTIMIND Inc.株式会社オプティマインド,-76329.54
Rhombus AI,-69032.03
Modern_AI_LLC,-60349.01
Capella Space,-60208.83
YPrime,-52932.52
FivetranAnalytics,-52667.44
"U.S. Venture, Inc.",-48184.79
PT_Mata_Gunung_Altazor,-41735.31
Firehouse_Technology,-39327.02
Shutterstock Inc.,-31304.39
Gilion,-30710.30
Circular,-28142.53
Cifra_Labs,-24972.08
Irvine Company - BCF Account,-23641.69
Metronome,-22491.06
"NISSIN FOODS HOLDINGS CO., LTD.",-19714.09
